SERVICE,LOG_TYPE,TABLE_NAME
Log,avatar:get,LOG_AVATAR_GET
Log,avatar:use,LOG_AVATAR_USE
Log,coupon:create,LOG_COUPON_CREATE
Log,coupon:use,LOG_COUPON_USE
Log,currency_free:deposit,LOG_CURRENCY_FREE_DEPOSIT
Log,currency_free:paid,LOG_CURRENCY_FREE_PAID
Log,currency:deposit,LOG_CURRENCY_DEPOSIT
Log,currency:paid,LOG_CURRENCY_PAID
Log,demographic:group,LOG_DEMOGRAPHIC_GROUP
Log,demographic:user,LOG_DEMOGRAPHIC_USER
Log,gacha:draw,LOG_GACHA_DRAW
Log,gold:add,LOG_GOLD_ADD
Log,gold:sub,LOG_GOLD_SUB
Log,inbox:get,LOG_INBOX_GET
Log,item:get,LOG_ITEM_GET
Log,item:select,LOG_ITEM_SELECT
Log,item:use,LOG_ITEM_USE
ofp,ofp:playResults,OFP_PLAYRESULTS
Log,party:create,LOG_PARTY_CREATE
Log,party:delete,LOG_PARTY_DELETE
Log,party:name_create,LOG_PARTY_NAME_CREATE
Log,party:name_edit,LOG_PARTY_NAME_EDIT
Log,party:select,LOG_PARTY_SELECT
Log,payment:purchase,LOG_PAYMENT_PURCHASE
Log,payment:q5_pay,LOG_PAYMENT_Q5_PAY
Log,payment:stripe_paymentIntent,LOG_PAYMENT_STRIPE_PAYMENTINTENT
Log,ranked_party:create,LOG_RANKED_PARTY_CREATE
Log,ranked_party:delete,LOG_RANKED_PARTY_DELETE
Log,ranked_party:profile_edit,LOG_RANKED_PARTY_PROFILE_EDIT
Log,reservation:create,LOG_RESERVATION_CREATE
Log,reservation:use,LOG_RESERVATION_USE
Log,session:checkin,LOG_SESSION_CHECKIN
Log,session:checkout,LOG_SESSION_CHECKOUT
Log,session:create,LOG_SESSION_CREATE
Log,session:end,LOG_SESSION_END
Log,session:entry,LOG_SESSION_ENTRY
Log,session:exit,LOG_SESSION_EXIT
Log,session:start,LOG_SESSION_START
Log,smaregi:pos_transactions_temporaries_create,LOG_SMAREGI_POS_TRANSACTIONS_TEMPORARIES_CREATE
Log,smaregi:webhook_pos_adjustments,LOG_SMAREGI_WEBHOOK_POS_ADJUSTMENTS
Log,spirit:get,LOG_SPIRIT_GET
Log,spirit:use,LOG_SPIRIT_USE
Log,title:get,LOG_TITLE_GET
Log,user:adult_child_select,LOG_USER_ADULT_CHILD_SELECT
Log,user:ban,LOG_USER_BAN
Log,user:ban_cancel,LOG_USER_BAN_CANCEL
Log,user:create,LOG_USER_CREATE
Log,user:delete,LOG_USER_DELETE
Log,user:flag,LOG_USER_FLAG
Log,user:item,LOG_USER_ITEM
Log,user:language_select,LOG_USER_LANGUAGE_SELECT
Log,user:login,LOG_USER_LOGIN
Log,user:login_first,LOG_USER_LOGIN_FIRST
Log,user:logout,LOG_USER_LOGOUT
Log,user:name_create,LOG_USER_NAME_CREATE
Log,user:name_edit,LOG_USER_NAME_EDIT
Log,user:profile_edit,LOG_USER_PROFILE_EDIT
Log,user:score,LOG_USER_SCORE